id,OrderableName,DosageForm,IvFlag,InactiveDate,DayOrDoseLimit,DefaultMedRoute,ScheduleType,Schedule,Synonym,FormularyStatus,AlertMsg,PatientInstructions,AssociatedImmunization,MedRoutes
42,THIAMINE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
43,MULTIVITAMIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
44,VECURONIUM,INJ,IV,"FEB 11,2005",,,,,"[""NORCURON""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
45,PALIVIZUMAB 100MG VIAL,"INJ,LYPHL",IV,"MAR 13,2005",,,,,"[""SYNAGIS""]",,[],,,[]
46,DOBUTAMINE HCL INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
47,PAMIDRONATE INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""AREDIA""]",,[],,,[]
48,RANITIDINE INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""ZANTAC""]",,[],,,[]
49,INTRALIPIDS 20% INJ,INJ,IV,"MAR 13,2005",,,,,"[""FATS""]",,[],,,[]
50,NOREPINEPHRINE 1MG/ML INJ,INJ,IV,"MAR 13,2005",,,,,"[""LEVOPHED""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
51,TICARCILLIN 3000MG INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
52,CYCLOPHOSPHAMIDE INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""CYTOXAN""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
53,MORPHINE SULFATE 10MG/ML,INJ,IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
54,PANCURONIUM INJECTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
55,LORAZEPAM INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""ATIVAN""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
56,HYDROCORTISONE SODIUM SUCC INJ,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
57,LEVOFLOXACIN INJ,INJ,IV,"OCT 3,2006",,,,,"[""LEVAQUIN""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
58,METHYLPREDNISOLONE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
59,QUINU/DALFOPRISTIN(SYNERCID),INJ,IV,"MAR 13,2005",,,,,"[""SYNERCID""]",,[],,,[]
60,FUROSEMIDE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
61,FOSPHENYTOIN INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""CEREBYX""]",,[],,,[]
62,DESMOPRESSIN (DDAVP) INJ,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""DDAVP""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
63,PENTAMADINE INJECTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
64,PROCAINAMIDE INJ,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
65,IVIG ___% INJECTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
66,INFLIXIMAB INJECTION,"INJ,LYPHL",IV,"MAY 5,2005",,,,,"[""REMICADE""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
67,AMIODARONE INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
68,AMIKACIN INJECTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
69,DEXAMETHASONE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
70,AZTREONAM INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
71,VINBLASTINE,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
72,FLUCONAZOLE INJ,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
73,MESNA INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
74,ANTIVENIN CROTALIDAE INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
75,FOMEPIZOLE INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""ANTIZOLE""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
76,CYTOMEGALOVIRUS IMMUNEGLOBULIN,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
77,DIAZEPAM INJECTION,INJ,IV,"MAR 13,2005",,,,,"[""VALIUM""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
78,ALPROSTADIL,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
79,DILTIAZEM,INJ,IV,"MAR 13,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
80,AMPHOTERICIN B LIPID 5MG/ML,INJ,IV,"MAR 13,2005",,,,,"[""ABELCET""]",,[],,,[]
81,PHYTONADIONE,INJ,IV,"MAR 13,2005",,,,,"[""VIT K""]",,[],,,[]
82,IRON DEXTRAN,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
83,ESMOLOL,INJ,IV,"FEB 14,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
84,"ANTIVENIN,CROTALIDAE (CROFAB)",INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
85,ENALAPRILAT,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
86,AMINO ACIDS 5%/DEXTROSE 25%,INJ,IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
87,INTRALIPIDS 20% INJECTION,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
88,IVIG ___% SOLUTION,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""IVIG""]",,[],,,[]
89,CROFAB(CROTALIDAE IMMUNE FAB),INJ,IV,"MAR 13,2005",,,,,"[""ANTIVENIN"", ""CROFAB""]",,[],,,[]
90,IRON SUCROSE INJ,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
91,OCTREOTIDE 1000MCG/ML,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
92,PHENYLEPHRINE,INJ,IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
93,OCTREOTIDE 200MCG,INJ,IV,"MAR 13,2005",,,,,[],,[],,,[]
94,AZITHROMYCIN,"INJ,PWDR",IV,"MAR 13,2005",,,,,[],,[],,,[]
95,TOBRAMYCIN,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
96,ACETYLCYSTEINE SOLN 20%,"SOLN,INHL/ORAL",IV,"MAR 13,2005",,,,,[],,[],FBR,,[]
97,OXYTOCIN,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HAZARDOUS"", ""HIGH RISK HIGH ALERT""]",,,[]
98,CEFEPIME,"INJ,PWDR",IV,"MAR 13,2005",,,,,[],,[],,,[]
99,CALCIUM CHLORIDE,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
100,FILGRASTIM,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,[],,,[]
101,DEXTROSE 5% IN WATER,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""D100"", ""D250"", ""D50"", ""D5W"", ""D5W500""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
102,SODIUM CHLORIDE 0.9%,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""NS"", ""NS100"", ""NS250"", ""NS50""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
103,DEXTROSE 10% / 1/2 NS,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""1/2NS"", ""D101/2NS""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
104,D5W / 1/4 NORMAL SALINE,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""D51/4NS"", ""D5W1/4NS""]",,[],,,[]
105,D5W / 1/2 NORMAL SALINE,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""1/2NS"", ""D51/2NS"", ""D5W1/2NS""]",,[],,,[]
106,DEXTROSE 5% / NACL 0.45%,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""1/2NS"", ""D51/2NS"", ""D5W"", ""NACL"", ""NS"", ""SODIUM CHLORIDE""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
107,DEXTROSE 5% / NACL 0.9%,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""D5NS"", ""D5W"", ""NACL"", ""NS"", ""SODIUM CHLORIDE""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
108,DEXTROSE 5% / NACL 0.2%,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""1/4NS"", ""D51/4NS"", ""D5W"", ""NACL"", ""NS"", ""SODIUM CHLORIDE""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
109,DEXTROSE 10% / 1/4 NS,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""1/4NS"", ""D10""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
110,LACTATED RINGERS,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""LR""]",,[],,,[]
111,DEXTROSE 5% / LR,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""D5LR"", ""D5W"", ""LACTATED RINGERS"", ""LR""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
112,SODIUM CHLORIDE 0.45%,INJ,IV,"MAR 13,2005",,,,,"[""1/2NS""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
113,DEXTROSE 10%,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""D10""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
114,DEXTROSE 25%,INJ,IV,"MAR 8,2003",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
115,AMINO ACIDS 3.5%,"INJ,SOLN",IV,"MAR 13,2005",,,,,"[""PPN""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
116,INTRALIPIDS 20%,INJ,IV,"MAR 13,2005",,,,,"[""FAT EMULSION""]",,[],,,[]
117,0.45% SODIUM CHLORIDE,INJ,IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
118,DEXTROSE 10% /AMINO ACIDS 3.5%,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
119,"SODIUM CHLORIDE 0.9% INJ, 50ML","INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
120,SODIUM CHLORIDE 0.45%,INJ,IV,"MAR 13,2005",,,,,"[""NACL"", ""NS""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
121,AMINO ACIDS 5% DEXTROSE 25%,INJ,IV,"MAR 13,2005",,,,,"[""TPN""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
122,SODIUM CHLORIDE 3%,"INJ,CONC-SOLN",IV,"MAR 13,2005",,,,,"[""NACL 3%""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
123,DEXTROSE 5%/1/4 NS *500ML*,"INJ,SOLN",IV,"MAR 13,2005",,,,,[],,"[""HIGH RISK HIGH ALERT""]",,,[]
124,FERROUS SULFATE,TAB,,,30D,ORAL,,BID,"[""IRON""]",,[],WITH FOOD FOR IRON,,[]
125,CHLORAMBUCIL,TAB,,,30D,,,DAILY,"[""LEUKERAN""]",N/F,"[""HAZARDOUS"", ""HIGH RISK HIGH ALERT""]",UD,,[]
126,ZZ CYCLOPHOSPHAMIDE,TAB,,"SEP 4,2018",30D,,,DAILY,[],N/F,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",WITH FOOD,,[]
127,ZZ CALCIUM CARBONATE,TAB,,"MAY 16,2009",,,,QDAY,[],N/F,[],,,[]
128,ZZ CYCLOPHOSPHAMIDE,INJ,,"APR 28,2009",,INTRAVENOUS,,UD,[],N/F,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
129,PENICILLIN G BENZATHINE,"INJ,SUSP",,,7D,INTRAMUSCULAR,,,"[""BICILLIN CR"", ""BICILLIN LA""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
130,ZZ DOXORUBICIN,"INJ,SOLN",,"MAR 1,2005",,,,,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
131,ZZ DOXORUBICIN,INJ,,"APR 12,2014",,INTRAVENOUS,,BIW,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
132,ZZ FLUOROURACIL,"INJ,SOLN",,"MAR 1,2005",,,,,[],,[],,,[]
133,HYDROXYUREA,"CAP,ORAL",,,30D,ORAL,,DAILY,"[""HYDREA""]",N/F,"[""HAZARDOUS"", ""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
134,DIPHENHYDRAMINE,"CAP,ORAL",,,30D,ORAL,,QID PRN,"[""BENADRYL"", ""GENAHIST""]",,"[""LOOK ALIKE SOUND ALIKE""]",DR,,[]
135,SODIUM POLYSTYRENE SULFONATE,SUSP,,,30D,ORAL,,AS DIRECTED,"[""KAYEXALATE"", ""SDS"", ""SPS SUSPENSION""]",,[],,,[]
136,ZZ MELPHALAN,TAB,,"MAR 28,2012",,,,DAILY,[],N/F,[],ON EMPTY STOMACH,,[]
137,PHENAZOPYRIDINE,TAB,,,30D,ORAL,,TID,"[""PYRIDIUM""]",,[],FPU,,[]
138,METHOTREXATE,TAB,,,30D,ORAL,,ONCE WEEKLY,"[""MTX""]",,"[""HAZARDOUS"", ""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",FAR,,[]
139,METHOTREXATE 25MG/ML,INJ,,,30D,INTRAVENOUS,,UD,[],,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
140,AMOXICILLIN,"CAP,ORAL",,,7D,ORAL,,BID,"[""POLYMOX""]",,[],FINF,,[]
141,ZZ MINERALS/MULTIVITAMINS,TAB,,"MAY 7,2015",,,,DAILY,[],,[],WITH FOOD FOR VITAMIN AND MINERAL SUPPLEMENT,,[]
142,BETHANECHOL,TAB,,,30D,ORAL,,TID,"[""URECHOLINE""]",,[],,,[]
143,ZZ EDROPHONIUM,INJ,,"FEB 20,2003",,,,,[],,[],,,[]
144,CEPHALEXIN,"CAP,ORAL",,,7D,ORAL,,QID,"[""KEFLEX""]",,"[""CEPHALEXIN RENAL DOSING""]",FINF,,[]
145,ZZ ERYTHROMYCIN/SULFISOXAZOLE,SUSP,,"FEB 1,2007",,,,QID,[],,[],FINF * KEEP REFRIGERATED *,,[]
146,METOLAZONE,TAB,,,30D,ORAL,,QAM,"[""ZAROXOLYN""]",,"[""LOOK ALIKE SOUND ALIKE""]",FOR EXCESS FLUID,,[]
147,SODIUM CHLORIDE 0.9%,"SOLN,INHL",,,30D,INHALATION,,UD,[],,"[""HIGH RISK HIGH ALERT""]",PRN FCON,,[]
148,HEPATITIS B,INJ,,,30D,INTRAMUSCULAR,,ONCE,"[""HEPLISAV-B"", ""VACCINE""]",,[],,,[]
149,SULFAMETHOXAZOLE/TRIMETHOPRIM 800/160MG,TAB,,,7D,ORAL,,BID,"[""BACTRIM"", ""COTRIMOXAZOLE DS"", ""SEPTRA""]",,[],FINF,,[]
150,INDOMETHACIN,"CAP,ORAL",,,30D,,,TID,"[""INODCIN""]",,[],WITH FOOD OR MILK FPA,,[]
151,ZZ ERYTHROMYCIN,SUSP,,"NOV 5,2012",,,,QID,[],,[],FINF,,[]
152,ZZ SULFACETAMIDE 10%,"SOLN,OPH",,"JAN 25,2011",,OPHTHALMIC,,Q2H,[],N/F,[],FOR 7 DAYS FINF,,[]
153,HALOPERIDOL,TAB,,,30D,ORAL,,TID,"[""HALDOL""]",,[],,,[]
154,ERYTHROMYCIN 2%,"SOLN,TOP",,,30D,TOPICAL ACNE,,BID,"[""ERYMAX""]",,[],,,[]
155,ZZ PROPANTHELINE,TAB,,"JUL 7,2021",30D,ORAL,,TID,"[""PROBANTHINE""]",,[],,,[]
156,FUROSEMIDE,TAB,,,30D,ORAL,,DAILY,"[""LASIX""]",,[],FOR EXCESS FLUID,,[]
157,LEVONORGESTREL 0.1MG/EE 0.02MG,TAB,,,30D,ORAL,,DAILY,"[""ALESSE""]",,[],FBC,,[]
158,CLOTRIMAZOLE 1%,"CREAM,TOP",,,30D,TOPICAL,,BID,"[""LOTRIMIN"", ""MYCELEX""]",,[],,,[]
159,DOPAMINE,"INJ,SOLN",,,30D,INTRAVENOUS,,UD,"[""INTROPIN""]",,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
160,"EPOETIN ALFA,RECOMBINANT","INJ,SOLN",,,30D,SUBCUTANEOUS,,WEEKLY,"[""EPOGEN""]",,[],FOR RED BLOOD CELLS,,[]
161,NIACIN,TAB,,,30D,ORAL,,DAILY,"[""NICOTINIC""]",,[],WITH FOOD F LIPIDS,,[]
162,ZZ TRIAMCINOLONE,"AEROSOL,ORAL",,"SEP 26,2005",,INHALATION ORAL,,BID,[],,[],FBR *RINSE MOUTH AFTER EACH USE*,,[]
163,EPHEDRINE SULFATE 50MG/ML,"INJ,SOLN",,,30D,INTRAMUSCULAR,,ONCE,[],,"[""LOOK ALIKE SOUND ALIKE""]",,,[]
164,ZZ THEOPHYLLINE,"CAP,SA",,"AUG 17,2005",,,,,[],,[],,,[]
165,EPINEPHRINE 0.15MG/0.3ML,"INJ,SOLN",,,30D,INTRAMUSCULAR,,ONCE,"[""ADRENALIN"", ""EPIPEN JR""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",AS DIRECTED IF ANAPHYLACTIC REACTION OCCURS. MAY REPEAT ONCE IN ONE MINUTE IF NO RESPONSE. ALWAYS COME TO EMERGENCY DEPARTMENT IF USED.,,[]
166,ZZ ATROPINE/DIPHENOXYLATE,TAB,,"MAY 21,2012",8D,,,TID PRN,[],N/F,[],PRN FOR DIARRHEA (NO MORE THAN 8/DAY),,[]
167,PENICILLIN 250MG/5ML,"PWDR,RENST-ORAL",,,7D,ORAL,,QID,"[""PENVK"", ""VEETID""]",,"[""LOOK ALIKE SOUND ALIKE""]",FINF,,[]
168,NOREPINEPHRINE 1MG/ML,INJ,,,30D,INTRAVENOUS,,UD,"[""LEVOPHED""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",,,[]
169,ZZ METAPROTERENOL,"INHL,ORAL",,"FEB 12,2008",,INHALATION ORAL,,Q34H,[],,[],FBR,,[]
170,GRISEOFULVIN ULTRAMICROSIZE,TAB,,,7D,ORAL,,BID,"[""FULVICIN"", ""GRIS-PEG""]",,"[""LOOK ALIKE SOUND ALIKE""]",F FUNGAL INFECTION,,[]
171,SODIUM CHLORIDE 5%,"SOLN,OPH",,,30D,OPHTHALMIC,,UD,"[""ADSORBONAC""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
172,PHENYLEPHRINE,INJ,,,30D,INTRAVENOUS,,UD,"[""NEO-SYNEPHRINE""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
173,ZZ PSEUDOEPHEDRINE,TAB,,"APR 1,2010",,,,Q6H,[],,"[""LOOK ALIKE SOUND ALIKE""]",PRN FCON,,[]
174,"EPINEPHRINE, RACEMIC 2.25%","SOLN,INHL",,,30D,INHALATION,,Q4H,"[""RACEMIC EPINEPHRINE"", ""VAPONEPHRINE""]",,"[""HIGH RISK HIGH ALERT"", ""LOOK ALIKE SOUND ALIKE""]",FBR,,[]
175,NIFEDIPINE,"TAB,SA",,,30D,ORAL,,DAILY,"[""PROCARDIA""]",,"[""LOOK ALIKE SOUND ALIKE""]",F THE HEART,,[]
176,LOVASTATIN,TAB,,,30D,ORAL,,QPM,"[""MEVACOR""]",N/F,[],FCHOL,,[]
177,TERBUTALINE 1MG/ML,INJ,,,30D,SUBCUTANEOUS,,UD,"[""BRETHINE""]",,[],,,[]
178,TERBUTALINE,TAB,,,30D,ORAL,,Q6H,"[""BRETHINE""]",,[],,,[]
179,HYDROXYZINE HCL 10MG/5ML,SYRUP,,,30D,ORAL,,TID,"[""ATARAX""]",,"[""LOOK ALIKE SOUND ALIKE""]",MCD,,[]
180,URSODIOL,"CAP,ORAL",,,30D,,,BID,"[""ACTIGALL""]",,[],,,[]
181,"ALBUMIN,HUMAN 25%",INJ,,,30D,INTRAVENOUS,,UD,[],,[],,,[]
182,FERROUS GLUCONATE,TAB,,,30D,ORAL,,TID,"[""IRON""]",,[],WITH FOOD FFE,,[]
183,IRON DEXTRAN 50MG/ML,"INJ,SOLN",,,30D,INTRAVENOUS,,UD,"[""DEXFERRUM""]",N/F,[],,,[]
184,HEPARIN NA 10000 UNITS/ML,"INJ,SOLN",,,7D,SUBCUTANEOUS,,TID,[],,"[""LOOK ALIKE SOUND ALIKE""]",TO PREVENT BLOOD CLOTS.,,[]
185,DIGOXIN,TAB,,,30D,ORAL,,DAILY,"[""LANOXIN""]",,"[""HIGH RISK HIGH ALERT""]",FH,,[]
186,DIGOXIN 0.5MG/2ML,"INJ,SOLN",,,30D,IV PUSH,,UD,"[""LANOXIN""]",,"[""HIGH RISK HIGH ALERT""]",,,[]
187,PROPRANOLOL,TAB,,,30D,ORAL,,BID,"[""INDERAL""]",,"[""HIGH RISK HIGH ALERT""]",FBP,,[]
188,ZZ QUINIDINE,"TAB,SA",,"FEB 19,2008",,,,,[],,[],,,[]
189,ZZ QUINIDINE,TAB,,"MAY 10,2009",,,,,[],N/F,[],,,[]
190,DIAZOXIDE,"INJ,SOLN",,,30D,INTRAVENOUS,,Q8H,"[""HYPERSTAT INJECTION"", ""HYPERSTAT IV""]",,[],,,[]
191,HYDRALAZINE,TAB,,,30D,ORAL,,QID,"[""APRESOLINE""]",,"[""LOOK ALIKE SOUND ALIKE""]",WITH MEALS FBP,,[]
192,METHYLDOPATE 250MG/5ML,INJ,,,30D,INTRAVENOUS,,Q6H,"[""ALDOMET""]",,[],,,[]
193,METHYLDOPA,TAB,,,30D,,,TID,"[""ALDOMET""]",,[],FBP,,[]
194,PHENTOLAMINE,"INJ,CONC, W/BUF",,,30D,IV PUSH,,ONCE,[],,[],,,[]
