id,Name,PharmacyOrderableItem,DosageForm,DeaSpcl,OrderUnit,PricePerOrderUnit,BenchmarkPricePerDispenseUnit,DispenseUnit,DispenseUnitsPerOrderUnit,PricePerDispenseUnit,NcpdpDispenseUnit,VaPrintName,PackageSize,PackageType,DrugClass,Ndc,ApplicationPackage,Message,Restriction,Strength,Unit,PossibleDosages,LocalPossibleDosage,Synonym,Generic,InactiveDate,PharmacyOrderableItemID,RxCUI,NF
87733,ABEMACICLIB 200MG TAB,ABEMACICLIB,TAB,6,BX,2010.32,000291.60857,TAB,14,143.5943,,"ABEMACICLIB 200MG TAB,14",14,BLIST PACK,"AN900 ANTINEOPLASTIC,OTHER",00002-6216-54,OX,***SDR REQUIRED***,,200,MG,"[{""Dose"": ""200"", ""DispenseUnitsPerDose"": ""1""}]",[],"[""VERZENIO""]",ABEMACICLIB,,3235,1946846,N/F
87659,ABIRATERONE ACETATE 250MG TAB,ABIRATERONE,TAB,6,BT,347.51,000014.16666,TAB,120,2.8959,,ABIRATERONE ACETATE 250MG TAB,120,BOTTLE,AN500 ANTINEOPLASTIC HORMONES,00378-6920-78,OUX,***SDR REQUIRED***,,250,MG,"[{""Dose"": ""250"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""500"", ""DispenseUnitsPerDose"": ""2""}]",[],"[""16714-0963-01""]",ABIRATERONE,,3191,1100075,N/F
86418,ACAMPROSATE CALCIUM 333MG TAB,ACAMPROSATE,"TAB,EC",6,BT,215.49,000001.09833,TAB,180,1.1972,EACH,ACAMPROSATE CA 333MG EC TAB,180,BOTTLE,AD100 ALCOHOL DETERRENTS,68462-0435-18,OX,,,333,MG,"[{""Dose"": ""333"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""666"", ""DispenseUnitsPerDose"": ""2""}]",[],"[""ACAMPROS""]",ACAMPROSATE,,2304,835726,
87815,ACAMPROSATE CALCIUM 333MG TAB U/D,ACAMPROSATE,"TAB,EC",6,BX,141.2,000000.82138,TAB,180,0.7844,,ACAMPROSATE CA 333MG EC TAB,180.0,BOTTLE,AD100 ALCOHOL DETERRENTS,00378-6333-80,U,,,333,MG,"[{""Dose"": ""333"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""666"", ""DispenseUnitsPerDose"": ""2""}]",[],"[""00378-6333-80"", ""00378633380""]",ACAMPROSATE,,2304,835726,
85872,ACARBOSE 25MG TAB,ACARBOSE,TAB,6,BT,42.18,000000.46500,TAB,100,0.4218,EACH,ACARBOSE 25MG TAB,100,BOTTLE,"HS502 ORAL HYPOGLYCEMIC AGENTS,ORAL",00054-0140-25,OXU,***SDR REQUIRED***,,25,MG,"[{""Dose"": ""25"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""50"", ""DispenseUnitsPerDose"": ""2""}]",[],[],ACARBOSE,,1721,200132,N/F
87569,ACCU-CHEK AVIVA PLUS(GLUCOSE) TEST STRIP #50,GLUCOSE,TEST STRIP,6S,BX,,000001.56140,EA,50,,,ACCU-CHEK AVIVA PLUS(GLUCOSE) TEST STRIP,50.0,BOX,"DX900 DIAGNOSTICS,OTHER",65702-0407-10,OX,,,,,[],"[{""LocalPossibleDosage"": ""1 STRIP"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""STRIP"", ""AVIVA"", ""ACCU-CHEK AVIVA PLUS(GLUCOSE) TEST STRIP""]",GLUCOSE TEST,,1636,,
87537,ACCU-CHEK GUIDE ME GLUCOSE HIGH/LOW CONTROL SOLN,GLUCOSE CONTROL,"SOLN,CONTROL",9S,BT,3.58,000007.00000,EA,1,3.5800,,ACCU-CHEK GUIDE(GLUCOSE)HI/LO CNTRL SOLN,1.0,BOTTLE,"DX900 DIAGNOSTICS,OTHER",65702-0713-10,O,,,,,[],"[{""LocalPossibleDosage"": ""1 DROP"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""GUIDE ME""]",GLUCOSE CONTROL,,3081,,
87534,ACCU-CHEK GUIDE ME GLUCOSE METER KIT,ACCU-CHEK GUIDE ME GLUCOSE MTR,DEVICE,6S,BX,10.99,000009.99000,METER,1,10.9900,,ACCU-CHEK GUIDE ME (GLUCOSE) METER,01,BOX,"DX900 DIAGNOSTICS,OTHER",65702-0731-10,OX,,,,,[],"[{""LocalPossibleDosage"": ""1 METER"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""DEVICE(S)"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""GUIDE ME""]",GLUCOSE TEST,,3108,,
87535,ACCU-CHEK GUIDE ME GLUCOSE TEST STRIPS,ACCU-CHEK GUIDE ME GLUCOSE,TEST STRIP,9S,BX,9.05,000000.40000,STRIP,50,0.1810,,ACCU-CHEK GUIDE (GLUCOSE) TEST STRIP,50.0,BOX,"DX900 DIAGNOSTICS,OTHER",65702-0719-10,OX,,,,,[],"[{""LocalPossibleDosage"": ""1 STRIP"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""GUIDE ME""]",GLUCOSE TEST,,3109,,
87304,ACETAMINOPHEN 10MG/ML INJ,ACETAMINOPHEN 10MG/ML,INJ,6,CS,62.57,000000.08100,ML,2400,0.0261,,ACETAMINOPHEN 10MG/ML INJ,100.0,VIAL,CN103 NON-OPIOID ANALGESICS,00264-4100-90,UIOX,Restricted to surgery patients and ED patients with NPO status,,10,MG/ML,"[{""Dose"": ""1000"", ""DispenseUnitsPerDose"": ""100""}]","[{""LocalPossibleDosage"": ""1000MG/100ML"", ""NumericDose"": ""1000"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""120MG/12ML"", ""NumericDose"": ""120"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""160MG/16ML"", ""NumericDose"": ""160"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""200MG/20ML"", ""NumericDose"": ""200"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""240MG/24ML"", ""NumericDose"": ""240"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""280MG/28ML"", ""NumericDose"": ""280"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""320MG/32ML"", ""NumericDose"": ""320"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""360MG/36ML"", ""NumericDose"": ""360"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""400MG/40ML"", ""NumericDose"": ""400"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""40MG/4ML"", ""NumericDose"": ""40"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""440MG/44ML"", ""NumericDose"": ""440"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""480MG/48ML"", ""NumericDose"": ""480"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""520MG/52ML"", ""NumericDose"": ""520"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""560MG/56ML"", ""NumericDose"": ""560"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""600MG/60ML"", ""NumericDose"": ""60"", ""DoseUnit"": ""MILLIGRAM(S)""}, {""LocalPossibleDosage"": ""80MG/8ML"", ""NumericDose"": ""80"", ""DoseUnit"": ""MILLIGRAM(S)""}]","[""TYLENOL"", ""343825102017"", ""0140614400"", ""324201100018"", ""0110302644100908""]",ACETAMINOPHEN,,2942,483017,
85034,ACETAMINOPHEN 120MG SUPP,ACETAMINOPHEN 120MG,"SUPP,RTL",9,BX,4.08,000000.30833,SUPP,12,0.3400,EACH,ACETAMINOPHEN 120MG RTL SUPP,50.0,BOX,CN103 NON-OPIOID ANALGESICS,45802-0732-30,OXU,,,120,MG,"[{""Dose"": ""60"", ""DispenseUnitsPerDose"": "".5""}, {""Dose"": ""120"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""180"", ""DispenseUnitsPerDose"": ""1.5""}, {""Dose"": ""240"", ""DispenseUnitsPerDose"": ""2""}]","[{""LocalPossibleDosage"": ""1 SUPPOSITORY (120 MG)"", ""NumericDose"": ""1"", ""DoseUnit"": ""SUPPOSITOR(IES)""}, {""LocalPossibleDosage"": ""1/2 SUPPOSITORY (60 MG)"", ""NumericDose"": ""0.5"", ""DoseUnit"": ""SUPPOSITOR(IES)""}]","[""TYLENOL"", ""APAP120"", ""APAP120 SUPP"", ""APAP120S"", ""APAP"", ""0110307130118061"", ""345802732309"", ""0100345802732002"", ""TYLENOL SUPPOSITORY 120MG""]",ACETAMINOPHEN,,203,198434,
86097,ACETAMINOPHEN 120MG SUPP (NB),ACETAMINOPHEN (NB),"SUPP,RTL",9FW,BX,4.08,000000.30833,SUPP,12,0.3400,EACH,ACETAMINOPHEN 120MG RTL SUPP,12,BOX,CN103 NON-OPIOID ANALGESICS,45802-0732-30,O,,,120,MG,"[{""Dose"": ""120"", ""DispenseUnitsPerDose"": ""1""}]","[{""LocalPossibleDosage"": ""1 SUPPOSITORY"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""1/2 SUPPOSITORY"", ""NumericDose"": """", ""DoseUnit"": """"}]",[],ACETAMINOPHEN,,2035,198434,
84920,ACETAMINOPHEN 120MG/CODEINE 12MG/5ML ELIXIR U/D,ACETAMINOPHEN/CODEINE 120MG/12MG/5ML,"SOLN,ORAL",5A,BX,44.99,000000.24800,ML,200,0.2250,MILLILITERS,CODEINE 12/ACETAMINOPHEN120MG/5ML SOLN,5.0,CUP,CN101 OPIOID ANALGESICS,50383-0079-06,UN,,,,,[],"[{""LocalPossibleDosage"": ""10 ML"", ""NumericDose"": ""10"", ""DoseUnit"": ""MILLILITER(S)""}, {""LocalPossibleDosage"": ""15 ML"", ""NumericDose"": ""15"", ""DoseUnit"": ""MILLILITER(S)""}, {""LocalPossibleDosage"": ""2.5 ML"", ""NumericDose"": ""2.5"", ""DoseUnit"": ""MILLILITER(S)""}, {""LocalPossibleDosage"": ""5 ML"", ""NumericDose"": ""5"", ""DoseUnit"": ""MILLILITER(S)""}]","[""TYLENOL WITH CODEINE"", ""T3"", ""0100301210504051"", ""x000000S2SE"", ""0121050416"", ""00121-0504-16"", ""350383079057"", ""CODEINE"", ""ACETAMINOPHEN"", ""350383337058"", ""64950037416"", ""0100301211008121""]",ACETAMINOPHEN/CODEINE,,3035,993755,
88112,"ACETAMINOPHEN 160MG CHW TAB, 24S",ACETAMINOPHEN 80MG PREPACK,"TAB,CHEWABLE",,BT,1.44,000000.08291,TAB,24,0.0600,,ACETAMINOPHEN 160MG CHEW TAB,24.0,BLIST PACK,CN103 NON-OPIOID ANALGESICS,00904-6645-24,OUX,CHEWABLE TABS,,160,MG,"[{""Dose"": ""160"", ""DispenseUnitsPerDose"": ""1""}, {""Dose"": ""320"", ""DispenseUnitsPerDose"": ""2""}]",[],[],ACETAMINOPHEN,,3130,313820,
88103,ACETAMINOPHEN 160MG/5ML LIQUID,ACETAMINOPHEN 160MG/5ML,"LIQUID,ORAL",7,BT,,000000.02135,ML,118,0.0000,,ACETAMINOPHEN 160MG/5ML ALC-F LIQUID,473,BOTTLE,CN103 NON-OPIOID ANALGESICS,00904-6766-20,OX,,,160,MG/5ML,"[{""Dose"": ""160"", ""DispenseUnitsPerDose"": ""1""}]","[{""LocalPossibleDosage"": ""1 ML (32 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""10 ML (320 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""11 ML (352 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""12 ML (384 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""13 ML (416 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""14 ML (448 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""15 ML (480 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""2 ML (64 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""3 ML (96 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""4 ML (128 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""5 ML (160 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""6 ML (192 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""7 ML ( 224 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""8 ML (256 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}, {""LocalPossibleDosage"": ""9 ML (288 MG)"", ""NumericDose"": """", ""DoseUnit"": """"}]","[""TYLENOL""]",ACETAMINOPHEN,,2542,307668,
